departamento,anio,poblacion_total,tasa_vif_total,tasa_divorcios_10k,vif_alto,div_alto,pct_educacion_superior,pct_uniones_hecho,pct_casados,pct_decision_mujer,pct_decision_hombre,tasa_desempleo,tasa_quehaceres_hogar,regimen
Jalapa,2017,342923,20.354423587802508,3.820099555876975,True,False,2.984230595230401,18.866085428858728,29.344547139208128,20.255077040344098,27.102956389176242,1.6277946150129574,34.04875788670401,Violencia_atrapada
Jutiapa,2017,488395,22.399901718895567,3.6855414162716653,True,False,3.2240785955640465,18.29292383190202,31.48198207564825,21.452122603132732,28.17319961975558,2.486654972678975,34.31759158418804,Violencia_atrapada
Petén,2017,545600,19.758064516129036,2.8225806451612905,False,False,2.6312740959631578,25.729307591245863,27.000864473086562,15.554753309265944,26.384275972723625,2.383808815413777,34.4206944988141,Baja_conflictividad
Quetzaltenango,2017,799101,18.508298700664874,5.743954769171856,False,True,11.881213795513238,14.36205967215194,35.293446209454956,19.169478922381742,23.14362523594349,2.004369156988077,30.54778198036686,Resolucion_legal
Quiché,2017,949261,7.27934677607107,1.3694863688701,False,False,1.5805467551475039,19.572474469846327,30.609735698753482,16.396780136351367,38.31978033583272,1.5600085043053045,36.256118930821835,Baja_conflictividad
Retalhuleu,2017,326828,45.92629762443855,4.6813614500593586,True,True,3.408938036430167,17.025846723470913,33.059992563232306,20.926036466247016,21.92316040807467,4.218354988535481,32.1626210250998,Conflicto_visible
Sacatepéquez,2017,330469,48.2042188526004,4.660043755995267,True,True,7.167719815620097,11.934820959037456,38.361871230741116,15.224706692478595,23.038445047877662,2.2762432493249327,22.35029208709506,Conflicto_visible
San Marcos,2017,1032277,17.6309265826905,2.867447400261751,False,False,2.9338896857478156,20.897340627985677,30.080213557592973,17.352008404764007,32.26850079040129,2.422489126531264,35.081320543934666,Baja_conflictividad
Santa Rosa,2017,396607,27.432697859594004,4.336786793979935,True,True,3.3948018644170395,21.22431830864855,28.435076555975343,20.540837504578196,26.000081390143652,2.98811013767209,31.783792187025757,Conflicto_visible
Sololá,2017,421583,12.998626604962723,1.5892481433074863,False,False,2.652163000644282,15.839384104460713,34.266737112234885,14.870279299589987,25.541135654794584,1.3471634567761472,31.370180813572528,Baja_conflictividad
Suchitepéquez,2017,554695,36.52457656910555,2.8484121904830584,True,False,3.1429394068764207,16.613649949014874,33.41787878432705,19.762368586286286,24.281551366058636,3.2982298902083795,31.63304190963398,Violencia_atrapada
Totonicapán,2017,418569,10.798697466845372,2.5802197487152654,False,False,2.2779306737322997,10.932695910108462,37.53603309316432,15.848058815942215,28.365793886237583,1.4891246146944328,31.69004583459436,Baja_conflictividad
Zacapa,2017,245374,28.405617547091378,6.724428831090498,True,True,3.8874886849718675,22.96687717489367,26.262147183915452,23.702719073899583,27.594561852200833,3.5436566985071765,28.753328205431632,Conflicto_visible
Alta Verapaz,2018,1215038,32.031919989333666,1.0946159708585246,True,False,2.070863560171225,18.382794624838862,34.81548474765405,12.244469152447406,32.76660567486408,2.142470175280189,36.34419139333063,Violencia_atrapada
Baja Verapaz,2018,299476,18.36541158556946,4.674832039963136,False,True,2.932476408021828,17.504230676248874,35.28054328476297,18.716821316706618,23.28426687057924,1.9486604869104616,33.063007826387135,Resolucion_legal
Chimaltenango,2018,615776,26.649301044535676,2.387231720625682,True,False,3.1773399014778327,9.358587598631967,39.7263094207709,14.75674865736615,20.614654227423642,1.4770505539521461,30.973856418257935,Violencia_atrapada
Chiquimula,2018,415063,13.347371362901535,4.192134687987125,False,False,3.0157272659327985,20.84351438975461,27.39678706459148,22.093777841327807,28.37863105909786,2.3626738974620256,34.036707820765905,Baja_conflictividad
El Progreso,2018,176632,57.917025227591836,6.510711535848544,True,True,3.7996482035007437,20.29035110236445,30.243005048344312,20.840024427204668,23.44559292515776,3.426497159507105,30.695256024710073,Conflicto_visible
Escuintla,2018,733181,7.4742798845032805,4.119037454598524,False,False,3.3783330875551325,23.93258951819256,27.491172313329677,19.911110628737642,22.055200408087956,5.183616048920911,30.007759429890275,Baja_conflictividad
Guatemala,2018,3015081,17.767350197225216,7.2469031511922894,False,True,12.215548422107702,15.032453685676117,33.034474029392534,21.314537028304706,21.00012884492517,3.3694119055547036,20.609889856091065,Resolucion_legal
Huehuetenango,2018,1170669,9.06319378065021,1.6486299714095103,False,False,2.3664469066767917,23.631981324773854,29.816399182958857,17.36016174915608,36.5771648770733,1.9342831472211524,38.4459069584633,Baja_conflictividad
Izabal,2018,408688,19.379086246721215,5.896918921035118,True,True,2.6535696605755366,25.093448594539492,25.184912299645262,20.854345578460954,27.173844238600637,3.377008039453142,30.873849662024593,Conflicto_visible
Jalapa,2018,342923,15.601169941940318,4.315837666181621,False,True,2.984230595230401,18.866085428858728,29.344547139208128,20.255077040344098,27.102956389176242,1.6277946150129574,34.04875788670401,Resolucion_legal
Jutiapa,2018,488395,25.90116606435365,5.139282752689933,True,True,3.2240785955640465,18.29292383190202,31.48198207564825,21.452122603132732,28.17319961975558,2.486654972678975,34.31759158418804,Conflicto_visible
Petén,2018,545600,14.644428152492669,3.0608504398826977,False,False,2.6312740959631578,25.729307591245863,27.000864473086562,15.554753309265944,26.384275972723625,2.383808815413777,34.4206944988141,Baja_conflictividad
Quetzaltenango,2018,799101,19.6846205923907,6.7075375953728,True,True,11.881213795513238,14.36205967215194,35.293446209454956,19.169478922381742,23.14362523594349,2.004369156988077,30.54778198036686,Conflicto_visible
Quiché,2018,949261,6.14161963885591,2.07529857436469,False,False,1.5805467551475039,19.572474469846327,30.609735698753482,16.396780136351367,38.31978033583272,1.5600085043053045,36.256118930821835,Baja_conflictividad
Retalhuleu,2018,326828,42.56061292178149,4.6813614500593586,True,True,3.408938036430167,17.025846723470913,33.059992563232306,20.926036466247016,21.92316040807467,4.218354988535481,32.1626210250998,Conflicto_visible
Sacatepéquez,2018,330469,53.07608277932272,4.629783731605688,True,True,7.167719815620097,11.934820959037456,38.361871230741116,15.224706692478595,23.038445047877662,2.2762432493249327,22.35029208709506,Conflicto_visible
San Marcos,2018,1032277,17.069061889395964,2.6543263097017564,False,False,2.9338896857478156,20.897340627985677,30.080213557592973,17.352008404764007,32.26850079040129,2.422489126531264,35.081320543934666,Baja_conflictividad
Santa Rosa,2018,396607,31.139137735844297,4.387214547398306,True,True,3.3948018644170395,21.22431830864855,28.435076555975343,20.540837504578196,26.000081390143652,2.98811013767209,31.783792187025757,Conflicto_visible
Sololá,2018,421583,11.622859555532363,1.6841286294750974,False,False,2.652163000644282,15.839384104460713,34.266737112234885,14.870279299589987,25.541135654794584,1.3471634567761472,31.370180813572528,Baja_conflictividad
Suchitepéquez,2018,554695,36.95724677525487,3.695724677525487,True,False,3.1429394068764207,16.613649949014874,33.41787878432705,19.762368586286286,24.281551366058636,3.2982298902083795,31.63304190963398,Violencia_atrapada
Totonicapán,2018,418569,9.269678356495584,3.2252746858940817,False,False,2.2779306737322997,10.932695910108462,37.53603309316432,15.848058815942215,28.365793886237583,1.4891246146944328,31.69004583459436,Baja_conflictividad
Zacapa,2018,245374,25.79735424291082,6.561412374579214,True,True,3.8874886849718675,22.96687717489367,26.262147183915452,23.702719073899583,27.594561852200833,3.5436566985071765,28.753328205431632,Conflicto_visible
Alta Verapaz,2019,1215038,35.91657215659099,1.1110763613977506,True,False,2.070863560171225,18.382794624838862,34.81548474765405,12.244469152447406,32.76660567486408,2.142470175280189,36.34419139333063,Violencia_atrapada
Baja Verapaz,2019,299476,27.815250637780657,5.275881873672681,True,True,2.932476408021828,17.504230676248874,35.28054328476297,18.716821316706618,23.28426687057924,1.9486604869104616,33.063007826387135,Conflicto_visible
Chimaltenango,2019,615776,28.208309515148365,2.7932235098477367,True,False,3.1773399014778327,9.358587598631967,39.7263094207709,14.75674865736615,20.614654227423642,1.4770505539521461,30.973856418257935,Violencia_atrapada
Chiquimula,2019,415063,12.961887713431455,4.408969240814045,False,False,3.0157272659327985,20.84351438975461,27.39678706459148,22.093777841327807,28.37863105909786,2.3626738974620256,34.036707820765905,Baja_conflictividad
El Progreso,2019,176632,59.728701481045334,8.26577290638163,True,True,3.7996482035007437,20.29035110236445,30.243005048344312,20.840024427204668,23.44559292515776,3.426497159507105,30.695256024710073,Conflicto_visible
Escuintla,2019,733181,17.84006950534725,5.305647582247767,False,True,3.3783330875551325,23.93258951819256,27.491172313329677,19.911110628737642,22.055200408087956,5.183616048920911,30.007759429890275,Resolucion_legal
Guatemala,2019,3015081,17.720916950489887,11.57846173950219,False,True,12.215548422107702,15.032453685676117,33.034474029392534,21.314537028304706,21.00012884492517,3.3694119055547036,20.609889856091065,Resolucion_legal
Huehuetenango,2019,1170669,7.79041727422525,2.1355310510485883,False,False,2.3664469066767917,23.631981324773854,29.816399182958857,17.36016174915608,36.5771648770733,1.9342831472211524,38.4459069584633,Baja_conflictividad
Izabal,2019,408688,17.12798026856673,5.211799710292448,False,True,2.6535696605755366,25.093448594539492,25.184912299645262,20.854345578460954,27.173844238600637,3.377008039453142,30.873849662024593,Resolucion_legal
Jalapa,2019,342923,11.227010145134622,5.423958148039064,False,True,2.984230595230401,18.866085428858728,29.344547139208128,20.255077040344098,27.102956389176242,1.6277946150129574,34.04875788670401,Resolucion_legal
Jutiapa,2019,488395,22.932257701245916,4.791203841153165,True,False,3.2240785955640465,18.29292383190202,31.48198207564825,21.452122603132732,28.17319961975558,2.486654972678975,34.31759158418804,Violencia_atrapada
Petén,2019,545600,15.065982404692082,3.464076246334311,False,False,2.6312740959631578,25.729307591245863,27.000864473086562,15.554753309265944,26.384275972723625,2.383808815413777,34.4206944988141,Baja_conflictividad
Quetzaltenango,2019,799101,24.91549879176725,8.196711054046986,True,True,11.881213795513238,14.36205967215194,35.293446209454956,19.169478922381742,23.14362523594349,2.004369156988077,30.54778198036686,Conflicto_visible
Quiché,2019,949261,6.26803376521315,2.15957465860285,False,False,1.5805467551475039,19.572474469846327,30.609735698753482,16.396780136351367,38.31978033583272,1.5600085043053045,36.256118930821835,Baja_conflictividad
Retalhuleu,2019,326828,55.10543772259415,6.02763533112218,True,True,3.408938036430167,17.025846723470913,33.059992563232306,20.926036466247016,21.92316040807467,4.218354988535481,32.1626210250998,Conflicto_visible
Sacatepéquez,2019,330469,38.55127107232448,5.083684097449382,True,True,7.167719815620097,11.934820959037456,38.361871230741116,15.224706692478595,23.038445047877662,2.2762432493249327,22.35029208709506,Conflicto_visible
San Marcos,2019,1032277,16.92375205492324,3.0515065239272015,False,False,2.9338896857478156,20.897340627985677,30.080213557592973,17.352008404764007,32.26850079040129,2.422489126531264,35.081320543934666,Baja_conflictividad
Santa Rosa,2019,396607,32.17290668092091,5.244486355510619,True,True,3.3948018644170395,21.22431830864855,28.435076555975343,20.540837504578196,26.000081390143652,2.98811013767209,31.783792187025757,Conflicto_visible
Sololá,2019,421583,12.310743080247544,2.609213369609306,False,False,2.652163000644282,15.839384104460713,34.266737112234885,14.870279299589987,25.541135654794584,1.3471634567761472,31.370180813572528,Baja_conflictividad
Suchitepéquez,2019,554695,36.236129765006,4.398813762518141,True,False,3.1429394068764207,16.613649949014874,33.41787878432705,19.762368586286286,24.281551366058636,3.2982298902083795,31.63304190963398,Violencia_atrapada
Totonicapán,2019,418569,10.081969758868908,3.7508750050768214,False,False,2.2779306737322997,10.932695910108462,37.53603309316432,15.848058815942215,28.365793886237583,1.4891246146944328,31.69004583459436,Baja_conflictividad
Zacapa,2019,245374,31.25840553603886,8.069314597308598,True,True,3.8874886849718675,22.96687717489367,26.262147183915452,23.702719073899583,27.594561852200833,3.5436566985071765,28.753328205431632,Conflicto_visible
Alta Verapaz,2020,1215038,31.916697255559086,0.8394799175005226,True,False,2.070863560171225,18.382794624838862,34.81548474765405,12.244469152447406,32.76660567486408,2.142470175280189,36.34419139333063,Violencia_atrapada
Baja Verapaz,2020,299476,30.553366546901923,1.6695828714154055,True,False,2.932476408021828,17.504230676248874,35.28054328476297,18.716821316706618,23.28426687057924,1.9486604869104616,33.063007826387135,Violencia_atrapada
Chimaltenango,2020,615776,30.222028789689755,1.9812399314036273,True,False,3.1773399014778327,9.358587598631967,39.7263094207709,14.75674865736615,20.614654227423642,1.4770505539521461,30.973856418257935,Violencia_atrapada
Chiquimula,2020,415063,13.540113187636576,2.481550993463643,False,False,3.0157272659327985,20.84351438975461,27.39678706459148,22.093777841327807,28.37863105909786,2.3626738974620256,34.036707820765905,Baja_conflictividad
El Progreso,2020,176632,49.76448208705104,3.8498120385887042,True,True,3.7996482035007437,20.29035110236445,30.243005048344312,20.840024427204668,23.44559292515776,3.426497159507105,30.695256024710073,Conflicto_visible
