departamento,anio,poblacion_total,vif_fisica_consolidada,vif_psicologica_consolidada,vif_patrimonial_consolidada,tasa_fisica,tasa_psicologica,tasa_patrimonial,tasa_divorcios_10k,pct_educacion_superior,pct_uniones_hecho,pct_casados,pct_decision_mujer,pct_decision_hombre,tasa_desempleo,tasa_quehaceres_hogar,vif_predominante
Totonicapán,2016,418569,317,436,107,7.573422780951289,10.416442689257924,2.5563288251160503,2.054619429532526,2.2779306737322997,10.932695910108462,37.53603309316432,15.848058815942215,28.365793886237583,1.4891246146944328,31.69004583459436,Psicologica
Zacapa,2016,245374,349,484,57,14.223185830609602,19.72499123786546,2.3229845052858087,6.031608890917538,3.8874886849718675,22.96687717489367,26.262147183915452,23.702719073899583,27.594561852200833,3.5436566985071765,28.753328205431632,Psicologica
Alta Verapaz,2017,1215038,2272,3556,481,18.699003652560663,29.26657437874371,3.958723924683837,0.9217818701966523,2.070863560171225,18.382794624838862,34.81548474765405,12.244469152447406,32.76660567486408,2.142470175280189,36.34419139333063,Psicologica
Baja Verapaz,2017,299476,310,555,47,10.351413802775514,18.532369872711,1.5694078991304814,3.9068239191120493,2.932476408021828,17.504230676248874,35.28054328476297,18.716821316706618,23.28426687057924,1.9486604869104616,33.063007826387135,Psicologica
Chimaltenango,2017,615776,949,1488,281,15.4114483188692,24.1646312944967,4.563347710855895,2.0949176323858025,3.1773399014778327,9.358587598631967,39.7263094207709,14.75674865736615,20.614654227423642,1.4770505539521461,30.973856418257935,Psicologica
Chiquimula,2017,415063,200,392,34,4.818545618376006,9.44434941201697,0.8191527551239209,3.9512074070683245,3.0157272659327985,20.84351438975461,27.39678706459148,22.093777841327807,28.37863105909786,2.3626738974620256,34.036707820765905,Psicologica
El Progreso,2017,176632,361,767,105,20.43797273427239,43.42361519996377,5.944562706644323,6.114407355405589,3.7996482035007437,20.29035110236445,30.243005048344312,20.840024427204668,23.44559292515776,3.426497159507105,30.695256024710073,Psicologica
Escuintla,2017,733181,266,320,21,3.628026367295388,4.364542998250091,0.2864231342601622,4.705522919988379,3.3783330875551325,23.93258951819256,27.491172313329677,19.911110628737642,22.055200408087956,5.183616048920911,30.007759429890275,Psicologica
Guatemala,2017,3015081,2165,4440,643,7.1805699415703925,14.725972536061219,2.132612689344001,6.882070498271854,12.215548422107702,15.032453685676117,33.034474029392534,21.314537028304706,21.00012884492517,3.3694119055547036,20.609889856091065,Psicologica
Huehuetenango,2017,1170669,691,870,88,5.902607825098299,7.431648057649088,0.7517069299691032,1.5973772261843442,2.3664469066767917,23.631981324773854,29.816399182958857,17.36016174915608,36.5771648770733,1.9342831472211524,38.4459069584633,Psicologica
Izabal,2017,408688,403,631,143,9.860822926046275,15.439650784950867,3.4990016834357753,5.970324550757546,2.6535696605755366,25.093448594539492,25.184912299645262,20.854345578460954,27.173844238600637,3.377008039453142,30.873849662024593,Psicologica
Jalapa,2017,342923,313,644,42,9.127413442667889,18.77972606095246,1.2247647431055952,3.820099555876975,2.984230595230401,18.866085428858728,29.344547139208128,20.255077040344098,27.102956389176242,1.6277946150129574,34.04875788670401,Psicologica
Jutiapa,2017,488395,510,1017,137,10.442367346103051,20.82330900193491,2.8051065223845453,3.6855414162716653,3.2240785955640465,18.29292383190202,31.48198207564825,21.452122603132732,28.17319961975558,2.486654972678975,34.31759158418804,Psicologica
Petén,2017,545600,544,858,74,9.970674486803519,15.725806451612904,1.3563049853372433,2.8225806451612905,2.6312740959631578,25.729307591245863,27.000864473086562,15.554753309265944,26.384275972723625,2.383808815413777,34.4206944988141,Psicologica
Quetzaltenango,2017,799101,951,1129,88,11.900873606715548,14.128376763387857,1.101237515658221,5.743954769171856,11.881213795513238,14.36205967215194,35.293446209454956,19.169478922381742,23.14362523594349,2.004369156988077,30.54778198036686,Psicologica
Quiché,2017,949261,610,667,540,6.4260514231596995,7.026518523356589,5.6886356860758,1.3694863688701,1.5805467551475039,19.572474469846327,30.609735698753482,16.396780136351367,38.31978033583272,1.5600085043053045,36.256118930821835,Psicologica
Retalhuleu,2017,326828,851,1341,86,26.0381607451014,41.03075623875556,2.631353494804607,4.6813614500593586,3.408938036430167,17.025846723470913,33.059992563232306,20.926036466247016,21.92316040807467,4.218354988535481,32.1626210250998,Psicologica
Sacatepéquez,2017,330469,928,1418,77,28.081302633529926,42.90871458442395,2.3300218779976336,4.660043755995267,7.167719815620097,11.934820959037456,38.361871230741116,15.224706692478595,23.038445047877662,2.2762432493249327,22.35029208709506,Psicologica
San Marcos,2017,1032277,1169,1390,155,11.324479766574283,13.465377994472414,1.5015349562181468,2.867447400261751,2.9338896857478156,20.897340627985677,30.080213557592973,17.352008404764007,32.26850079040129,2.422489126531264,35.081320543934666,Psicologica
Santa Rosa,2017,396607,447,1028,150,11.270602889005993,25.919865257042865,3.78208150637785,4.336786793979935,3.3948018644170395,21.22431830864855,28.435076555975343,20.540837504578196,26.000081390143652,2.98811013767209,31.783792187025757,Psicologica
Sololá,2017,421583,335,400,60,7.946240716537432,9.488048616761112,1.423207292514167,1.5892481433074863,2.652163000644282,15.839384104460713,34.266737112234885,14.870279299589987,25.541135654794584,1.3471634567761472,31.370180813572528,Psicologica
Suchitepéquez,2017,554695,1082,1714,249,19.506215127232082,30.899863889164315,4.48895338879925,2.8484121904830584,3.1429394068764207,16.613649949014874,33.41787878432705,19.762368586286286,24.281551366058636,3.2982298902083795,31.63304190963398,Psicologica
Totonicapán,2017,418569,293,363,28,7.000040614570119,8.672405266515199,0.6689458607780318,2.5802197487152654,2.2779306737322997,10.932695910108462,37.53603309316432,15.848058815942215,28.365793886237583,1.4891246146944328,31.69004583459436,Psicologica
Zacapa,2017,245374,381,619,107,15.527317482699878,25.226796645121325,4.360690211676869,6.724428831090498,3.8874886849718675,22.96687717489367,26.262147183915452,23.702719073899583,27.594561852200833,3.5436566985071765,28.753328205431632,Psicologica
Alta Verapaz,2018,1215038,1987,3328,508,16.353398000720965,27.390089857271953,4.180939196963387,1.0946159708585246,2.070863560171225,18.382794624838862,34.81548474765405,12.244469152447406,32.76660567486408,2.142470175280189,36.34419139333063,Psicologica
Baja Verapaz,2018,299476,272,475,31,9.082530820499807,15.861037278446352,1.0351413802775515,4.674832039963136,2.932476408021828,17.504230676248874,35.28054328476297,18.716821316706618,23.28426687057924,1.9486604869104616,33.063007826387135,Psicologica
Chimaltenango,2018,615776,930,1455,257,15.102894559060438,23.62872213272359,4.173595593202723,2.387231720625682,3.1773399014778327,9.358587598631967,39.7263094207709,14.75674865736615,20.614654227423642,1.4770505539521461,30.973856418257935,Psicologica
Chiquimula,2018,415063,244,486,59,5.878625654418727,11.709065852653694,1.4214709574209217,4.192134687987125,3.0157272659327985,20.84351438975461,27.39678706459148,22.093777841327807,28.37863105909786,2.3626738974620256,34.036707820765905,Psicologica
El Progreso,2018,176632,476,960,140,26.94868427012093,54.35028760360523,7.926083608859097,6.510711535848544,3.7996482035007437,20.29035110236445,30.243005048344312,20.840024427204668,23.44559292515776,3.426497159507105,30.695256024710073,Psicologica
Escuintla,2018,733181,357,449,40,4.869193282422758,6.123999394419658,0.5455678747812613,4.119037454598524,3.3783330875551325,23.93258951819256,27.491172313329677,19.911110628737642,22.055200408087956,5.183616048920911,30.007759429890275,Psicologica
Guatemala,2018,3015081,2226,4442,781,7.382886230917179,14.732605857023408,2.5903118357350934,7.2469031511922894,12.215548422107702,15.032453685676117,33.034474029392534,21.314537028304706,21.00012884492517,3.3694119055547036,20.609889856091065,Psicologica
Huehuetenango,2018,1170669,657,877,133,5.61217560215569,7.491442927078448,1.136102519157849,1.6486299714095103,2.3664469066767917,23.631981324773854,29.816399182958857,17.36016174915608,36.5771648770733,1.9342831472211524,38.4459069584633,Psicologica
Izabal,2018,408688,458,780,121,11.206592804290803,19.0854637278315,2.960693732137963,5.896918921035118,2.6535696605755366,25.093448594539492,25.184912299645262,20.854345578460954,27.173844238600637,3.377008039453142,30.873849662024593,Psicologica
Jalapa,2018,342923,253,499,51,7.377749523945608,14.551371590706951,1.4872143309139367,4.315837666181621,2.984230595230401,18.866085428858728,29.344547139208128,20.255077040344098,27.102956389176242,1.6277946150129574,34.04875788670401,Psicologica
Jutiapa,2018,488395,632,1165,162,12.940345417131626,23.85364305531383,3.3169872746444993,5.139282752689933,3.2240785955640465,18.29292383190202,31.48198207564825,21.452122603132732,28.17319961975558,2.486654972678975,34.31759158418804,Psicologica
Petén,2018,545600,359,679,57,6.579912023460411,12.445014662756599,1.0447214076246334,3.0608504398826977,2.6312740959631578,25.729307591245863,27.000864473086562,15.554753309265944,26.384275972723625,2.383808815413777,34.4206944988141,Psicologica
Quetzaltenango,2018,799101,1025,1396,118,12.826914244882687,17.46963149839632,1.4766593959962508,6.7075375953728,11.881213795513238,14.36205967215194,35.293446209454956,19.169478922381742,23.14362523594349,2.004369156988077,30.54778198036686,Psicologica
Quiché,2018,949261,512,575,445,5.39366939124224,6.057343554617749,4.68785718574765,2.07529857436469,1.5805467551475039,19.572474469846327,30.609735698753482,16.396780136351367,38.31978033583272,1.5600085043053045,36.256118930821835,Psicologica
Retalhuleu,2018,326828,808,1280,142,24.722483997699097,39.164331085463914,4.344792979793653,4.6813614500593586,3.408938036430167,17.025846723470913,33.059992563232306,20.926036466247016,21.92316040807467,4.218354988535481,32.1626210250998,Psicologica
Sacatepéquez,2018,330469,972,1528,81,29.412743706671424,46.23731726727772,2.451061975555952,4.629783731605688,7.167719815620097,11.934820959037456,38.361871230741116,15.224706692478595,23.038445047877662,2.2762432493249327,22.35029208709506,Psicologica
San Marcos,2018,1032277,1084,1301,127,10.501057371228846,12.60320630993425,1.2302899318690623,2.6543263097017564,2.9338896857478156,20.897340627985677,30.080213557592973,17.352008404764007,32.26850079040129,2.422489126531264,35.081320543934666,Psicologica
Santa Rosa,2018,396607,565,1174,244,14.245840340689902,29.60109125658397,6.152185917041303,4.387214547398306,3.3948018644170395,21.22431830864855,28.435076555975343,20.540837504578196,26.000081390143652,2.98811013767209,31.783792187025757,Psicologica
Sololá,2018,421583,287,397,71,6.807674882526098,9.416888252135404,1.6841286294750974,1.6841286294750974,2.652163000644282,15.839384104460713,34.266737112234885,14.870279299589987,25.541135654794584,1.3471634567761472,31.370180813572528,Psicologica
Suchitepéquez,2018,554695,1072,1636,225,19.325935874669863,29.49368571917901,4.056283182649925,3.695724677525487,3.1429394068764207,16.613649949014874,33.41787878432705,19.762368586286286,24.281551366058636,3.2982298902083795,31.63304190963398,Psicologica
Totonicapán,2018,418569,224,319,11,5.351566886224254,7.621204628149719,0.26280015959136965,3.2252746858940817,2.2779306737322997,10.932695910108462,37.53603309316432,15.848058815942215,28.365793886237583,1.4891246146944328,31.69004583459436,Psicologica
Zacapa,2018,245374,309,566,118,12.593021265496752,23.066828596346802,4.808985467082902,6.561412374579214,3.8874886849718675,22.96687717489367,26.262147183915452,23.702719073899583,27.594561852200833,3.5436566985071765,28.753328205431632,Psicologica
Alta Verapaz,2019,1215038,2356,3617,391,19.39034005520815,29.7686162901901,3.21800635041867,1.1110763613977506,2.070863560171225,18.382794624838862,34.81548474765405,12.244469152447406,32.76660567486408,2.142470175280189,36.34419139333063,Psicologica
Baja Verapaz,2019,299476,344,725,26,11.486730155337991,24.20895163552338,0.8681830931360109,5.275881873672681,2.932476408021828,17.504230676248874,35.28054328476297,18.716821316706618,23.28426687057924,1.9486604869104616,33.063007826387135,Psicologica
Chimaltenango,2019,615776,937,1527,287,15.216572260042614,24.797978485683103,4.660785740269189,2.7932235098477367,3.1773399014778327,9.358587598631967,39.7263094207709,14.75674865736615,20.614654227423642,1.4770505539521461,30.973856418257935,Psicologica
Chiquimula,2019,415063,273,464,130,6.577314769083247,11.179025834632332,3.1320546519444035,4.408969240814045,3.0157272659327985,20.84351438975461,27.39678706459148,22.093777841327807,28.37863105909786,2.3626738974620256,34.036707820765905,Psicologica
El Progreso,2019,176632,472,998,89,26.722224738439245,56.50165315458128,5.038724579917568,8.26577290638163,3.7996482035007437,20.29035110236445,30.243005048344312,20.840024427204668,23.44559292515776,3.426497159507105,30.695256024710073,Psicologica
Escuintla,2019,733181,819,1067,96,11.170502236146328,14.553023059790148,1.3093628994750273,5.305647582247767,3.3783330875551325,23.93258951819256,27.491172313329677,19.911110628737642,22.055200408087956,5.183616048920911,30.007759429890275,Psicologica
Guatemala,2019,3015081,2099,4610,892,6.961670349818131,15.289804817847347,2.9584611491366237,11.57846173950219,12.215548422107702,15.032453685676117,33.034474029392534,21.314537028304706,21.00012884492517,3.3694119055547036,20.609889856091065,Psicologica
Huehuetenango,2019,1170669,585,747,124,4.997142659453697,6.380966780533182,1.0592234013200998,2.1355310510485883,2.3664469066767917,23.631981324773854,29.816399182958857,17.36016174915608,36.5771648770733,1.9342831472211524,38.4459069584633,Psicologica
Izabal,2019,408688,363,697,103,8.88208119641389,17.054574638844304,2.5202599538033903,5.211799710292448,2.6535696605755366,25.093448594539492,25.184912299645262,20.854345578460954,27.173844238600637,3.377008039453142,30.873849662024593,Psicologica
Jalapa,2019,342923,175,351,22,5.103186429606647,10.235533924525331,0.6415434368648355,5.423958148039064,2.984230595230401,18.866085428858728,29.344547139208128,20.255077040344098,27.102956389176242,1.6277946150129574,34.04875788670401,Psicologica
Jutiapa,2019,488395,534,1037,97,10.933772868272607,21.232813603742873,1.9860973187686197,4.791203841153165,3.2240785955640465,18.29292383190202,31.48198207564825,21.452122603132732,28.17319961975558,2.486654972678975,34.31759158418804,Psicologica
Petén,2019,545600,393,683,50,7.20307917888563,12.518328445747802,0.9164222873900293,3.464076246334311,2.6312740959631578,25.729307591245863,27.000864473086562,15.554753309265944,26.384275972723625,2.383808815413777,34.4206944988141,Psicologica
Quetzaltenango,2019,799101,1235,1756,106,15.454867407248896,21.97469406245268,1.3264906438610389,8.196711054046986,11.881213795513238,14.36205967215194,35.293446209454956,19.169478922381742,23.14362523594349,2.004369156988077,30.54778198036686,Psicologica
Quiché,2019,949261,485,570,327,5.10923760693845,6.0046710019689,3.44478494323479,2.15957465860285,1.5805467551475039,19.572474469846327,30.609735698753482,16.396780136351367,38.31978033583272,1.5600085043053045,36.256118930821835,Psicologica
Retalhuleu,2019,326828,964,1695,98,29.49563684874001,51.86214155457917,2.998519098730831,6.02763533112218,3.408938036430167,17.025846723470913,33.059992563232306,20.926036466247016,21.92316040807467,4.218354988535481,32.1626210250998,Psicologica
Sacatepéquez,2019,330469,674,1117,62,20.395256438576688,33.80044724316048,1.876121512153939,5.083684097449382,7.167719815620097,11.934820959037456,38.361871230741116,15.224706692478595,23.038445047877662,2.2762432493249327,22.35029208709506,Psicologica
San Marcos,2019,1032277,1007,1259,72,9.755133554268864,12.196338773410625,0.6974872054690747,3.0515065239272015,2.9338896857478156,20.897340627985677,30.080213557592973,17.352008404764007,32.26850079040129,2.422489126531264,35.081320543934666,Psicologica
Santa Rosa,2019,396607,652,1206,242,16.439447614389053,30.407935311277914,6.101758163622931,5.244486355510619,3.3948018644170395,21.22431830864855,28.435076555975343,20.540837504578196,26.000081390143652,2.98811013767209,31.783792187025757,Psicologica
Sololá,2019,421583,298,422,47,7.068596219487028,10.009891290682974,1.1148457124694306,2.609213369609306,2.652163000644282,15.839384104460713,34.266737112234885,14.870279299589987,25.541135654794584,1.3471634567761472,31.370180813572528,Psicologica
Suchitepéquez,2019,554695,1021,1565,115,18.40651168660255,28.213703025987254,2.073211404465517,4.398813762518141,3.1429394068764207,16.613649949014874,33.41787878432705,19.762368586286286,24.281551366058636,3.2982298902083795,31.63304190963398,Psicologica
Totonicapán,2019,418569,250,348,13,5.972730899803855,8.314041412526967,0.31058200678980047,3.7508750050768214,2.2779306737322997,10.932695910108462,37.53603309316432,15.848058815942215,28.365793886237583,1.4891246146944328,31.69004583459436,Psicologica
Zacapa,2019,245374,363,606,122,14.793743428399099,24.69699316145965,4.972001923594187,8.069314597308598,3.8874886849718675,22.96687717489367,26.262147183915452,23.702719073899583,27.594561852200833,3.5436566985071765,28.753328205431632,Psicologica
Alta Verapaz,2020,1215038,2017,3270,388,16.600303858809355,26.912738531634403,3.193315764609831,0.8394799175005226,2.070863560171225,18.382794624838862,34.81548474765405,12.244469152447406,32.76660567486408,2.142470175280189,36.34419139333063,Psicologica
Baja Verapaz,2020,299476,425,797,69,14.191454407030948,26.613150970361566,2.3040243625532595,1.6695828714154055,2.932476408021828,17.504230676248874,35.28054328476297,18.716821316706618,23.28426687057924,1.9486604869104616,33.063007826387135,Psicologica
Chimaltenango,2020,615776,1003,1638,265,16.288390583588836,26.60058202982903,4.3035129657537805,1.9812399314036273,3.1773399014778327,9.358587598631967,39.7263094207709,14.75674865736615,20.614654227423642,1.4770505539521461,30.973856418257935,Psicologica
